mi_quality,transcript_id,video_title,video_url,topic,utterance_id,interlocutor,timestamp,utterance_text,annotator_id,therapist_input_exists,therapist_input_subtype,reflection_exists,reflection_subtype,question_exists,question_subtype,main_therapist_behaviour,client_talk_type,Co_cat5
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,0,therapist,0:00:11,Barbara Roberts?,3,FALSE,,FALSE,,TRUE,open,question,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,1,client,0:00:12,Yes. Morning.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,2,therapist,0:00:13,"Hello, there.",3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,3,client,0:00:14,Hello.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,4,therapist,0:00:14,"My name's Dr. Betty. I'm one of the new GPs in the practice. First of all, what would you like me to call you?",3,FALSE,,FALSE,,TRUE,open,question,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,5,client,0:00:19,"Well, you can call me Barbara. That'll be fine. Thank you.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,6,therapist,0:00:21,"Okay, that's fine. Okay. So, Barbara, I'm seeing you today, um, but I think it's usually Dr. Brown that sees you, is that right?",3,FALSE,,FALSE,,TRUE,open,question,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,7,client,0:00:28,"Yes, Dr. Brown is my doctor.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,8,therapist,0:00:30,Okay. What is it that's brought you to see me today?,3,FALSE,,FALSE,,TRUE,open,question,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,9,client,0:00:33,"Well, I've come about my tummy problem. I've got terrible trouble with my stomach and, uh, Dr. Brown just doesn't seem to be able to get to the bottom of it. And I thought perhaps, uh, I'd come and see you to see if you could help.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,10,therapist,0:00:47,All right. Okay. Can you tell me a bit more about your tummy problems?,3,FALSE,,FALSE,,TRUE,open,question,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,11,client,0:00:51,"Um, well, I-I have this terrible discomfort nearly all the time. Um, it very often feels bloated. I, um, uh, I swing between being constipated and having diarrhea. Um, I have sort of cramping feelings sometimes, and other times it stabs. It's a real stabbing feeling. Um, I often have the urge to go to the toilet and, um, and I pass very smelly wind.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,12,therapist,0:01:25,"All right. So, quite a few symptoms there-",3,FALSE,,TRUE,simple,FALSE,,reflection,,ref
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,13,client,0:01:27,Mm.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,14,therapist,0:01:27,- and some of them sound-,3,FALSE,,FALSE,,FALSE,,other,,ref
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,15,client,0:01:28,Yes.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,16,therapist,0:01:28,#NAME?,3,FALSE,,TRUE,simple,FALSE,,reflection,,ref
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,17,client,0:01:30,Yes.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,18,therapist,0:01:30,Okay. And how long has this been going on?,3,FALSE,,FALSE,,TRUE,open,question,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,19,client,0:01:34,"Well, I, uh, I've traced it back to a holiday I had in Egypt about four years ago. I had, um, a horrible bout of sickness and diarrhea, and, uh, and I don't think my stomach's ever been really right since then.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,20,therapist,0:01:50,Mm-hmm. Okay. Okay. So you think it began about four years ago after this holiday?,3,FALSE,,TRUE,simple,TRUE,open,reflection,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,21,client,0:01:54,Yes. Yes.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,22,therapist,0:01:55,Okay. And what's- what sorts of treatments have you tried for-for this before?,3,FALSE,,FALSE,,TRUE,open,question,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,23,client,0:02:06,"Well, uh, Dr. Brown gave me some muscle relaxants at the beginning.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,24,therapist,0:02:10,Mm-hmm.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,25,client,0:02:10,"Um, but I've been to the health shop and-and they've been really helpful. They've given me lots of different, um, tablets and medicines-",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,26,therapist,0:02:20,Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,27,client,0:02:21,#NAME?,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,28,therapist,0:02:26,Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,29,client,0:02:26,"I have Immodium in my handbag all the time, just in case. Yeah.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,30,therapist,0:02:29,"Right. So, these different tablets that you've got from the-",3,FALSE,,FALSE,,FALSE,,other,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,31,client,0:02:32,Hmm.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,32,therapist,0:02:32,- the herbal shop-,3,FALSE,,FALSE,,FALSE,,other,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,33,client,0:02:33,Hmm.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,34,therapist,0:02:34,#NAME?,3,FALSE,,FALSE,,TRUE,open,question,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,35,client,0:02:37,"Oh, well, different tablets, you know, I don't have the same problem every day-",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,36,therapist,0:02:41,Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,37,client,0:02:41,"- so I'll take some tablets for certain, uh, symptoms, and-",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,38,therapist,0:02:45,Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,39,client,0:02:46,#NAME?,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,40,therapist,0:02:48,"So, am I- am I right in thinking you perhaps decide on a day-to-day basis-",3,FALSE,,TRUE,simple,FALSE,,reflection,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,41,client,0:02:51,Hmm.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,42,therapist,0:02:52,- what you're gonna take-,3,FALSE,,FALSE,,FALSE,,other,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,43,client,0:02:52,Hmm.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,44,therapist,0:02:52,- depending on what your stomach's doing?,3,FALSE,,FALSE,,TRUE,open,question,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,45,client,0:02:54,Yeah.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,46,therapist,0:02:54,Okay. Okay. And what about tests? Have you had any tests for these problems?,3,FALSE,,FALSE,,TRUE,open,question,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,47,client,0:03:03,"Yes, uh, I had, uh, in the early days, I had a gastros-gas-- What are they called?",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,48,therapist,0:03:09,A gastroscopy.,3,FALSE,,FALSE,,FALSE,,other,,ref
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,49,client,0:03:10,That's it. Yes.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,50,therapist,0:03:10,You got the tube down-down from the top?,3,FALSE,,FALSE,,TRUE,open,question,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,51,client,0:03:11,Yes. Yeah.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,52,therapist,0:03:12,Okay.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,53,client,0:03:13,"Um, and at the same time I had a barium enema.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,54,therapist,0:03:16,Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,55,client,0:03:16,That was very uncomfortable.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,56,therapist,0:03:19,Okay.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,57,client,0:03:20,"Um, but, um, no, I've tried-- Well, you-- I don't think he's tried enough tests because he said after that, that they didn't find anything-",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,58,therapist,0:03:31,Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,59,client,0:03:31,-and he-he's-he's just not sent me for anymore. That's it now-,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,60,therapist,0:03:34,Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,61,client,0:03:34,- as far as he's concerned. Sent me back to the doctor.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,62,therapist,0:03:38,Right. It sounds as though you're-you're not happy with that.,3,FALSE,,TRUE,simple,FALSE,,reflection,,ref
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,63,client,0:03:42,"Well, you know, I think that actually, the NHS are running out of money, aren't they? And he's-",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,64,therapist,0:03:48,Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,65,client,0:03:48,- decided that I've had enough tests.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,66,therapist,0:03:51,Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,67,client,0:03:51,"And, um, you know, if you go on the Internet-",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,68,therapist,0:03:54,Mm-hmm.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,69,client,0:03:54,- there's loads of tests that he could have sent me for.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,70,therapist,0:03:57,Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,71,client,0:03:57,"Um, if I had a bit more money, I'd go private.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,72,therapist,0:04:00,Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,73,client,0:04:01,I just don't think he's got to the bottom of it.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,74,therapist,0:04:03,"Right. So you feel as though actually, enough hasn't been done in the way of-of tests?",3,FALSE,,TRUE,simple,TRUE,open,reflection,,ref
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,75,client,0:04:06,"No, he's not. There's loads more he could do. I'm sure.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,76,therapist,0:04:10,Right. Okay. It sounds like you-you've had these problems now for about four years.,3,FALSE,,TRUE,simple,FALSE,,reflection,,ref
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,77,client,0:04:17,Mm.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,78,therapist,0:04:17,You've-you've got a lot of various symptoms in your stomach.,3,FALSE,,TRUE,simple,FALSE,,reflection,,ref
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,79,client,0:04:20,Mm.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,80,therapist,0:04:20,"Um, you've tried a lot of tablets. Some prescribed, some herbal remedies-",3,FALSE,,TRUE,simple,FALSE,,reflection,,ref
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,81,client,0:04:24,Mm.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,82,therapist,0:04:25,"- and you've had some investigations, but you're not entirely happy that-that you haven't been investigated thoroughly enough.",3,FALSE,,TRUE,simple,FALSE,,reflection,,ref
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,83,client,0:04:29,Yeah.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,84,therapist,0:04:30,Is that- is that about-,3,FALSE,,TRUE,simple,FALSE,,reflection,,ref
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,85,client,0:04:32,"I'd say so, yes.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,86,therapist,0:04:32,#NAME?,3,FALSE,,TRUE,simple,FALSE,,reflection,,ref
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,87,client,0:04:33,Yes.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,88,therapist,0:04:33,"Okay. And can I ask you, Barbara, how-how is all of this affecting you day-to-day? How's-how's it affecting your life?",3,FALSE,,FALSE,,TRUE,open,question,,q
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,89,client,0:04:42,"Uh, well, it's had quite-quite a big impact. Um, I mean, the first thing, the biggest thing, I suppose, is that I-I went from being full-time to part-time at work.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,90,therapist,0:04:53,Mm-hmm.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,91,client,0:04:53,I just couldn't sit all day comfortably.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,92,therapist,0:04:57,Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,93,client,0:04:57,"Um, and so I went part-time, but in the end, I, uh, about a year ago, I stopped work altogether.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,94,therapist,0:05:03,Right. Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,95,client,0:05:04,"Um, I miss that.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,96,therapist,0:05:06,Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,97,client,0:05:06,"I miss the girls. We used to, uh, we used to go out at least once a week.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,98,therapist,0:05:11,Right.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,99,client,0:05:11,To the pictures or for a drink. That's one thing.,3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,100,therapist,0:05:16,Sounds as though that's something you quite enjoyed.,3,FALSE,,TRUE,simple,FALSE,,reflection,,ref
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,101,client,0:05:18,"Yeah, so I-- Yes. Yes, we used to have a laugh.",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,102,therapist,0:05:21,Right. Okay.,3,FALSE,,FALSE,,FALSE,,other,,other
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,103,client,0:05:22,"Um, I used to go to Swing and Shape. I used to go to an exercise class-",3,,,,,,,,neutral,
high,36,Psychiatric Interviews for Teaching: Somatisation,https://www.youtube.com/watch?v=4-bH55MCa1U,changing approach to disease,104,therapist,0:05:27,Mm-hmm.,3,FALSE,,FALSE,,FALSE,,other,,other
